Datetime,Canopytemp
18/12/2015 03:35,17.37
18/12/2015 03:40,17.34
18/12/2015 04:10,17.07
18/12/2015 04:15,17.06
18/12/2015 06:50,18.78
18/12/2015 06:55,19.32
18/12/2015 08:15,27.25
18/12/2015 08:20,28.05
18/12/2015 08:25,28.76
18/12/2015 08:30,29.77
18/12/2015 08:35,29.87
18/12/2015 08:40,31.05
18/12/2015 09:05,34.57
18/12/2015 09:10,34.80
18/12/2015 09:15,35.41
18/12/2015 09:20,35.95
18/12/2015 09:25,36.68
18/12/2015 09:30,36.70
18/12/2015 09:35,37.34
18/12/2015 09:40,38.62
18/12/2015 09:45,38.80
18/12/2015 09:50,39.84
18/12/2015 09:55,39.84
18/12/2015 10:00,40.66
18/12/2015 10:10,42.29
18/12/2015 10:15,44.15
18/12/2015 10:25,44.52
18/12/2015 10:30,45.60
18/12/2015 10:35,46.75
18/12/2015 10:55,47.02
18/12/2015 11:00,48.23
18/12/2015 11:45,53.80
18/12/2015 11:50,53.33
19/12/2015 05:15,18.40
19/12/2015 05:20,18.41
19/12/2015 08:15,31.07
19/12/2015 08:20,31.53
19/12/2015 08:50,35.47
19/12/2015 08:55,36.57
19/12/2015 09:25,40.55
19/12/2015 09:30,40.93
19/12/2015 09:45,43.19
19/12/2015 09:50,42.49
19/12/2015 09:55,44.51
19/12/2015 10:00,45.25
20/12/2015 07:05,22.73
20/12/2015 07:10,23.16
20/12/2015 07:15,23.31
20/12/2015 07:20,23.81
20/12/2015 07:25,24.53
20/12/2015 08:25,24.57
20/12/2015 08:30,24.39
20/12/2015 08:35,26.10
20/12/2015 08:40,26.95
20/12/2015 08:45,28.84
20/12/2015 08:50,28.88
20/12/2015 08:55,27.78
20/12/2015 09:00,28.14
20/12/2015 09:05,27.65
20/12/2015 09:10,28.75
20/12/2015 09:15,28.96
20/12/2015 09:20,29.03
20/12/2015 09:25,30.08
20/12/2015 09:30,30.67
20/12/2015 09:35,30.99
20/12/2015 09:40,31.08
20/12/2015 09:45,31.13
20/12/2015 09:50,31.53
20/12/2015 09:55,32.04
20/12/2015 10:00,32.58
20/12/2015 10:05,33.94
20/12/2015 10:10,33.98
20/12/2015 10:15,34.12
20/12/2015 10:20,34.55
20/12/2015 10:25,34.57
20/12/2015 10:30,34.59
20/12/2015 10:35,34.51
