Datetime,Canopytemp
18/12/2015 3:40,17.19
18/12/2015 3:45,17.19
18/12/2015 3:50,17.07
18/12/2015 3:55,17.03
18/12/2015 4:05,16.91
18/12/2015 4:10,16.94
18/12/2015 4:50,16.56
18/12/2015 4:55,16.5
18/12/2015 8:05,25.73
18/12/2015 8:10,26.22
18/12/2015 8:15,26.59
18/12/2015 8:20,27.25
18/12/2015 8:25,27.73
18/12/2015 8:30,27.86
18/12/2015 8:35,28.54
18/12/2015 8:40,28.79
18/12/2015 8:45,29.18
18/12/2015 8:50,30.32
18/12/2015 9:10,32.32
18/12/2015 9:15,32.18
18/12/2015 9:35,34.53
18/12/2015 9:40,34.57
18/12/2015 9:45,34.43
18/12/2015 9:50,34.58
18/12/2015 10:10,37.75
18/12/2015 10:15,38.27
18/12/2015 10:20,38.77
18/12/2015 10:25,39.11
18/12/2015 10:30,39.57
19/12/2015 3:40,18.24
19/12/2015 3:45,18.14
19/12/2015 4:20,18.01
19/12/2015 4:25,17.97
19/12/2015 5:05,18.03
19/12/2015 5:10,18.03
19/12/2015 5:15,18.05
19/12/2015 5:20,18.1
19/12/2015 8:55,34.74
19/12/2015 9:00,35.46
20/12/2015 7:05,22.38
20/12/2015 7:10,22.89
20/12/2015 7:15,23.01
20/12/2015 7:20,23.46
20/12/2015 7:25,24.18
20/12/2015 8:10,29.76
20/12/2015 8:15,30.56
20/12/2015 8:25,25.97
20/12/2015 8:30,23.28
20/12/2015 8:35,25.49
20/12/2015 8:40,24.22
20/12/2015 8:45,24.21
20/12/2015 8:50,24.36
20/12/2015 8:55,24.09
20/12/2015 9:00,24.21
20/12/2015 9:05,24.08
20/12/2015 9:10,24.61
20/12/2015 9:15,24.7
20/12/2015 9:20,24.74
20/12/2015 9:25,25.22
20/12/2015 9:30,25.64
20/12/2015 9:35,25.5
20/12/2015 9:40,25.95
20/12/2015 9:45,26.22
20/12/2015 9:50,26.44
20/12/2015 9:55,26.59
20/12/2015 10:00,27.01
20/12/2015 10:05,27.41
20/12/2015 10:10,28.13
20/12/2015 10:15,28.38
20/12/2015 10:20,28.5
20/12/2015 10:25,28.4
20/12/2015 10:30,28.72
20/12/2015 10:35,28.19
20/12/2015 10:40,28.4
20/12/2015 10:45,28.46
20/12/2015 10:50,29.21
20/12/2015 10:55,29.56
20/12/2015 11:00,29.49
20/12/2015 11:05,29.47
20/12/2015 11:10,29.41
20/12/2015 11:15,29.77
20/12/2015 11:20,29.92
20/12/2015 11:25,29.9
20/12/2015 11:30,29.61
20/12/2015 11:35,29.76
20/12/2015 11:40,30.18
20/12/2015 11:45,30.11
20/12/2015 11:50,30.01
20/12/2015 11:55,30.85
20/12/2015 12:00,30.59
20/12/2015 12:05,30.63
20/12/2015 12:10,30.04
20/12/2015 12:15,30.66
20/12/2015 12:20,30.51
20/12/2015 12:25,31.15
20/12/2015 12:30,30.97
20/12/2015 12:35,31.09
20/12/2015 12:40,30.42
20/12/2015 12:45,30.95
20/12/2015 12:50,31.23
20/12/2015 12:55,30.44
20/12/2015 13:00,31.45
20/12/2015 13:05,30.61
20/12/2015 13:10,30.81
20/12/2015 13:15,30.32
20/12/2015 13:20,31.41
20/12/2015 13:25,31.07
20/12/2015 13:30,30.59
20/12/2015 13:35,30.61
20/12/2015 13:40,30.93
20/12/2015 13:45,30.96
20/12/2015 13:50,30.85
20/12/2015 13:55,31.14
20/12/2015 14:00,31.64
20/12/2015 14:05,31.71
20/12/2015 14:10,31.67
20/12/2015 14:15,30.62
20/12/2015 14:20,32.34
20/12/2015 14:25,31.91
20/12/2015 14:30,30.8
20/12/2015 14:35,31.56
20/12/2015 14:40,32.02
20/12/2015 14:45,31.05
20/12/2015 14:50,32.1
20/12/2015 14:55,31.37
20/12/2015 15:00,31.85
20/12/2015 15:05,31.69
20/12/2015 15:10,32.17
20/12/2015 15:15,31.69
20/12/2015 15:20,31.75
20/12/2015 15:25,31.07
20/12/2015 15:30,31.12
20/12/2015 15:35,31.53
20/12/2015 15:40,31.71
20/12/2015 15:45,31.67
20/12/2015 15:50,32.14
20/12/2015 15:55,32.33
20/12/2015 16:00,32
20/12/2015 16:05,32.49
20/12/2015 16:10,32.07
20/12/2015 16:15,32.02
20/12/2015 16:20,32.58
20/12/2015 16:25,32.8
20/12/2015 16:30,32.82
20/12/2015 16:35,32.33
20/12/2015 16:40,32.46
20/12/2015 16:45,31.99
20/12/2015 16:50,32.56
20/12/2015 16:55,32.85
20/12/2015 17:00,32.8
20/12/2015 17:05,33.04
20/12/2015 17:10,32.49
20/12/2015 17:15,32.62
20/12/2015 17:25,32.67
20/12/2015 17:30,33.1
20/12/2015 17:35,32.64
20/12/2015 17:40,32.34
20/12/2015 17:45,32.35
20/12/2015 17:50,32.49
20/12/2015 18:10,32.44
20/12/2015 18:15,32.33
20/12/2015 18:20,32.32
20/12/2015 18:25,31.92
20/12/2015 18:30,32.04
20/12/2015 18:35,32.28
20/12/2015 18:40,32.07
20/12/2015 18:45,31.86
20/12/2015 18:50,32.33
20/12/2015 18:55,32.09
20/12/2015 19:00,31.94
20/12/2015 19:05,31.63
20/12/2015 19:10,31.42
20/12/2015 19:15,31.15
20/12/2015 19:20,31.05
20/12/2015 19:25,31.1
20/12/2015 19:30,30.64
20/12/2015 19:35,30.49
20/12/2015 19:40,30.25
20/12/2015 19:45,30.15
20/12/2015 19:50,29.69
20/12/2015 19:55,29.14
20/12/2015 20:00,28.76
20/12/2015 20:05,28.2
20/12/2015 20:10,27.69
20/12/2015 20:15,27.49
20/12/2015 20:20,27.16
20/12/2015 20:25,26.74
20/12/2015 20:30,26.22
20/12/2015 20:35,25.86
20/12/2015 20:40,25.27
20/12/2015 20:45,24.74
20/12/2015 20:55,24.51
20/12/2015 21:00,24.1
20/12/2015 21:05,23.86
20/12/2015 21:10,23.85
20/12/2015 21:15,23.65
20/12/2015 21:20,23.67
20/12/2015 21:25,23.46
20/12/2015 21:30,23.52
20/12/2015 21:35,23.39
20/12/2015 21:40,23.04
20/12/2015 21:45,23.25
20/12/2015 21:50,23.21
20/12/2015 21:55,23.6
20/12/2015 22:00,23.92
20/12/2015 22:05,24.4
20/12/2015 22:10,24.57
20/12/2015 22:15,25.02
20/12/2015 22:25,25.03
20/12/2015 22:30,24.81
20/12/2015 22:35,24.41
20/12/2015 22:40,23.87
20/12/2015 22:45,23.13
20/12/2015 22:55,22.15
20/12/2015 23:00,21.63
20/12/2015 23:05,21.44
20/12/2015 23:10,21.18
20/12/2015 23:15,21.02
20/12/2015 23:20,20.81
20/12/2015 23:25,21.02
20/12/2015 23:30,20.77
20/12/2015 23:35,20.88
20/12/2015 23:40,21.3
20/12/2015 23:45,22.1
20/12/2015 23:55,20.92
21/12/2015 0:00,20.9
21/12/2015 0:05,21.15
21/12/2015 0:10,21.5
21/12/2015 0:15,21.64
21/12/2015 0:20,21.61
21/12/2015 0:25,21.51
21/12/2015 0:30,21.84
21/12/2015 0:35,21.66
21/12/2015 0:40,21.87
21/12/2015 0:45,22.09
21/12/2015 0:50,22.12
21/12/2015 0:55,22.09
21/12/2015 1:00,21.96
21/12/2015 1:05,21.97
21/12/2015 1:10,22.15
21/12/2015 1:15,21.99
21/12/2015 1:20,21.46
21/12/2015 1:25,21.62
21/12/2015 1:30,21.56
21/12/2015 1:35,21.61
21/12/2015 1:40,21.57
21/12/2015 1:45,21.36
21/12/2015 1:50,21.31
21/12/2015 1:55,21.1
21/12/2015 2:00,20.84
21/12/2015 2:05,20.88
21/12/2015 2:10,21.2
21/12/2015 2:15,21.2
21/12/2015 2:20,21.27
21/12/2015 2:25,21.23
21/12/2015 2:30,21.38
21/12/2015 2:35,21.43
21/12/2015 2:40,21.64
21/12/2015 2:45,21.71
21/12/2015 2:50,21.62
21/12/2015 2:55,21.38
21/12/2015 3:00,21.37
21/12/2015 3:05,21.45
21/12/2015 3:10,21.45
21/12/2015 3:15,21.42
21/12/2015 3:20,21.64
21/12/2015 3:25,21.93
21/12/2015 3:30,21.91
21/12/2015 3:35,21.93
21/12/2015 3:40,22.08
21/12/2015 3:45,21.86
21/12/2015 3:55,21.91
21/12/2015 4:00,22.05
21/12/2015 4:05,22.12
21/12/2015 4:10,21.69
21/12/2015 4:15,21.61
21/12/2015 4:20,21.79
21/12/2015 4:25,21.77
21/12/2015 4:30,21.65
21/12/2015 4:35,21.61
21/12/2015 4:40,21.72
21/12/2015 4:45,21.68
21/12/2015 4:50,21.66
21/12/2015 4:55,21.8
21/12/2015 5:00,21.72
21/12/2015 5:05,21.67
21/12/2015 5:10,21.61
21/12/2015 5:15,21.41
21/12/2015 5:20,21.46
21/12/2015 5:25,21.42
21/12/2015 5:30,21.28
21/12/2015 5:35,21.29
21/12/2015 5:40,21.27
21/12/2015 5:45,21.2
21/12/2015 5:50,21.21
21/12/2015 5:55,21.1
21/12/2015 6:00,21.08
21/12/2015 6:05,21.19
21/12/2015 6:10,21.14
