Datetime,Canopytemp
18/12/2015 03:05,17.03
18/12/2015 03:10,17.09
18/12/2015 03:25,17.16
18/12/2015 03:30,17.15
18/12/2015 04:05,16.78
18/12/2015 04:10,16.75
18/12/2015 04:15,16.79
18/12/2015 04:20,16.75
18/12/2015 07:55,23.92
18/12/2015 08:00,24.37
18/12/2015 08:05,24.89
18/12/2015 08:10,25.38
18/12/2015 08:15,25.74
18/12/2015 08:20,26.34
18/12/2015 08:25,27.02
18/12/2015 08:30,27.17
18/12/2015 08:35,27.84
18/12/2015 08:40,28.24
18/12/2015 08:45,28.26
18/12/2015 09:05,30.77
18/12/2015 09:10,31.83
18/12/2015 09:15,31.87
18/12/2015 09:20,32.08
18/12/2015 09:25,33.32
18/12/2015 09:30,33.84
18/12/2015 09:35,34.53
18/12/2015 09:45,35.57
18/12/2015 09:50,36.40
18/12/2015 09:55,36.88
18/12/2015 10:10,39.14
18/12/2015 10:15,40.06
18/12/2015 10:25,40.12
18/12/2015 10:30,41.16
18/12/2015 11:45,49.29
18/12/2015 11:50,48.74
19/12/2015 04:20,18.14
19/12/2015 04:25,18.15
19/12/2015 08:15,28.47
19/12/2015 08:20,28.92
20/12/2015 07:05,22.86
20/12/2015 07:10,23.21
20/12/2015 07:15,23.25
20/12/2015 07:20,23.68
20/12/2015 07:25,24.37
20/12/2015 08:25,26.58
20/12/2015 08:30,25.70
20/12/2015 08:35,28.45
20/12/2015 08:40,25.17
20/12/2015 08:45,25.47
20/12/2015 08:50,25.26
20/12/2015 08:55,24.68
20/12/2015 09:00,24.96
20/12/2015 09:05,24.84
20/12/2015 09:10,25.18
20/12/2015 09:15,25.68
20/12/2015 09:20,25.76
20/12/2015 09:25,26.48
20/12/2015 09:30,27.04
20/12/2015 09:35,26.95
20/12/2015 09:40,27.76
20/12/2015 09:45,27.97
20/12/2015 09:50,28.28
20/12/2015 09:55,28.11
20/12/2015 10:00,28.22
20/12/2015 10:05,28.74
20/12/2015 10:10,28.94
20/12/2015 10:15,29.05
20/12/2015 10:25,29.11
20/12/2015 10:30,29.55
20/12/2015 10:35,29.18
20/12/2015 10:40,29.39
20/12/2015 10:45,29.92
20/12/2015 10:50,30.25
20/12/2015 10:55,30.08
20/12/2015 11:00,30.49
20/12/2015 11:05,30.72
20/12/2015 11:10,30.61
20/12/2015 11:15,30.29
20/12/2015 11:20,30.77
20/12/2015 11:25,31.14
20/12/2015 11:30,31.05
20/12/2015 11:35,31.43
20/12/2015 11:40,31.20
20/12/2015 11:45,31.13
20/12/2015 11:50,31.30
20/12/2015 11:55,31.71
20/12/2015 12:00,31.43
20/12/2015 12:05,31.73
20/12/2015 12:10,31.68
20/12/2015 12:15,31.41
20/12/2015 12:20,32.04
20/12/2015 12:25,31.84
20/12/2015 12:30,31.88
20/12/2015 12:35,32.10
20/12/2015 12:40,32.29
20/12/2015 12:45,32.40
20/12/2015 12:50,32.34
20/12/2015 12:55,32.10
20/12/2015 13:00,32.69
20/12/2015 13:05,32.83
20/12/2015 13:10,32.71
20/12/2015 13:15,32.63
20/12/2015 13:20,33.45
20/12/2015 13:25,32.83
20/12/2015 13:30,32.70
20/12/2015 13:35,32.92
20/12/2015 13:40,33.12
20/12/2015 13:45,33.14
20/12/2015 13:50,33.05
20/12/2015 13:55,32.76
20/12/2015 14:00,33.18
20/12/2015 14:05,33.42
20/12/2015 14:10,33.31
20/12/2015 14:15,33.05
20/12/2015 14:20,34.10
20/12/2015 14:25,33.78
20/12/2015 14:30,33.28
20/12/2015 14:35,33.67
20/12/2015 14:40,34.01
20/12/2015 14:45,33.44
20/12/2015 14:50,33.86
20/12/2015 14:55,34.13
20/12/2015 15:00,33.83
20/12/2015 15:05,34.30
