Datetime,Canopytemp
17/01/2017 10:55,31.66
17/01/2017 11:00,31.82
17/01/2017 11:05,32.59
17/01/2017 11:10,32.69
17/01/2017 11:15,32.85
17/01/2017 11:20,32.99
17/01/2017 11:25,33.23
17/01/2017 11:30,33.19
17/01/2017 11:35,33.46
17/01/2017 11:40,33.69
17/01/2017 11:45,33.72
17/01/2017 11:50,33.78
17/01/2017 11:55,33.91
17/01/2017 12:00,33.89
17/01/2017 12:05,34.29
17/01/2017 12:10,34.40
17/01/2017 12:15,34.20
17/01/2017 12:20,34.23
17/01/2017 12:25,34.66
17/01/2017 12:30,34.63
17/01/2017 12:35,34.69
17/01/2017 12:40,34.81
17/01/2017 12:45,35.06
17/01/2017 12:50,35.43
17/01/2017 12:55,35.67
17/01/2017 13:00,35.77
17/01/2017 13:05,35.90
17/01/2017 13:10,35.83
17/01/2017 13:15,35.82
17/01/2017 13:20,36.07
17/01/2017 13:25,36.25
17/01/2017 13:30,36.45
17/01/2017 13:35,36.43
17/01/2017 13:40,36.64
17/01/2017 13:45,36.88
17/01/2017 13:50,36.78
17/01/2017 13:55,36.89
17/01/2017 14:00,37.08
17/01/2017 14:05,37.13
17/01/2017 14:10,39.28
17/01/2017 14:15,39.80
17/01/2017 14:50,41.73
17/01/2017 14:55,41.97
17/01/2017 15:20,42.82
17/01/2017 16:15,44.20
17/01/2017 18:30,46.10
17/01/2017 18:55,44.76
17/01/2017 19:10,43.93
17/01/2017 19:20,43.41
17/01/2017 19:55,41.20
17/01/2017 20:10,40.34
17/01/2017 20:15,40.05
17/01/2017 20:25,39.58
17/01/2017 20:35,39.16
17/01/2017 20:40,38.99
17/01/2017 20:45,38.75
17/01/2017 20:50,38.59
17/01/2017 20:55,38.42
17/01/2017 21:00,38.24
17/01/2017 21:10,37.82
17/01/2017 21:30,37.15
17/01/2017 21:45,36.64
17/01/2017 21:50,36.48
17/01/2017 22:35,35.02
18/01/2017 01:55,30.66
18/01/2017 02:00,30.57
18/01/2017 02:55,29.74
18/01/2017 03:35,29.17
18/01/2017 04:25,28.88
18/01/2017 04:30,28.79
18/01/2017 04:50,28.57
18/01/2017 04:55,28.51
18/01/2017 05:30,28.15
18/01/2017 07:35,28.15
18/01/2017 09:10,29.80
18/01/2017 09:15,30.13
18/01/2017 09:20,30.21
18/01/2017 09:25,30.12
18/01/2017 09:30,29.97
18/01/2017 09:35,29.89
18/01/2017 09:40,29.82
18/01/2017 09:45,29.77
18/01/2017 09:50,29.77
18/01/2017 09:55,29.84
18/01/2017 10:00,29.96
18/01/2017 10:05,30.03
18/01/2017 10:10,30.14
18/01/2017 10:15,30.30
18/01/2017 10:30,31.01
18/01/2017 10:35,31.28
18/01/2017 10:40,31.66
18/01/2017 10:45,31.91
18/01/2017 10:50,32.00
18/01/2017 10:55,32.41
18/01/2017 11:00,32.76
18/01/2017 11:05,32.95
18/01/2017 11:10,32.99
18/01/2017 11:15,33.09
18/01/2017 11:20,33.56
18/01/2017 11:25,33.79
18/01/2017 11:30,34.18
18/01/2017 11:35,34.74
18/01/2017 11:40,34.81
18/01/2017 11:45,34.39
18/01/2017 11:50,34.56
18/01/2017 11:55,34.74
18/01/2017 12:00,34.66
18/01/2017 12:05,34.89
18/01/2017 12:10,35.10
18/01/2017 12:15,35.37
18/01/2017 12:20,35.71
18/01/2017 12:25,36.08
18/01/2017 12:30,36.58
18/01/2017 12:35,36.32
18/01/2017 12:40,36.37
18/01/2017 12:45,36.58
18/01/2017 12:50,36.98
18/01/2017 12:55,37.20
18/01/2017 13:00,36.59
18/01/2017 13:05,36.50
18/01/2017 13:10,36.41
18/01/2017 13:15,36.51
18/01/2017 13:20,36.55
18/01/2017 13:25,36.54
18/01/2017 13:35,36.14
18/01/2017 13:40,35.91
18/01/2017 13:45,35.76
18/01/2017 13:50,35.74
18/01/2017 13:55,35.71
18/01/2017 14:00,35.70
18/01/2017 14:05,35.76
18/01/2017 14:10,35.52
18/01/2017 14:20,35.42
18/01/2017 14:25,35.43
18/01/2017 14:30,35.87
18/01/2017 14:35,36.10
18/01/2017 14:40,36.99
18/01/2017 14:45,38.39
18/01/2017 14:50,38.75
18/01/2017 14:55,38.92
18/01/2017 15:00,39.22
18/01/2017 15:05,39.63
18/01/2017 15:10,39.77
18/01/2017 15:15,40.04
18/01/2017 15:20,40.37
18/01/2017 15:25,40.66
18/01/2017 15:30,40.98
18/01/2017 15:35,40.75
18/01/2017 15:40,41.11
18/01/2017 15:45,41.37
18/01/2017 15:50,41.45
18/01/2017 15:55,41.71
18/01/2017 16:00,41.81
18/01/2017 16:05,42.17
18/01/2017 16:10,42.21
18/01/2017 16:15,42.39
18/01/2017 16:20,43.05
18/01/2017 16:25,42.85
18/01/2017 16:35,43.30
18/01/2017 16:40,43.53
18/01/2017 16:45,43.75
18/01/2017 16:50,43.93
18/01/2017 16:55,43.79
18/01/2017 17:00,43.92
18/01/2017 17:05,43.84
18/01/2017 17:10,44.15
18/01/2017 17:15,44.25
18/01/2017 17:20,44.31
18/01/2017 17:25,44.27
18/01/2017 17:30,44.45
18/01/2017 17:35,44.32
18/01/2017 17:40,44.37
18/01/2017 17:45,44.40
18/01/2017 17:50,44.58
18/01/2017 17:55,44.63
18/01/2017 18:00,44.48
18/01/2017 18:05,44.57
18/01/2017 18:10,44.61
18/01/2017 18:15,44.05
18/01/2017 18:20,43.38
18/01/2017 18:30,42.44
18/01/2017 18:35,42.18
18/01/2017 18:40,42.02
18/01/2017 18:45,41.78
18/01/2017 18:50,41.54
18/01/2017 18:55,41.29
18/01/2017 19:00,41.08
18/01/2017 19:05,40.88
18/01/2017 19:10,40.73
18/01/2017 19:15,40.57
18/01/2017 19:20,40.35
20/01/2017 13:30,30.79
20/01/2017 13:35,30.28
20/01/2017 13:40,29.73
20/01/2017 13:45,26.95
20/01/2017 13:50,26.79
20/01/2017 13:55,24.89
20/01/2017 14:00,24.11
20/01/2017 14:05,24.05
20/01/2017 14:10,24.11
20/01/2017 14:15,24.27
20/01/2017 14:20,24.28
20/01/2017 14:25,24.41
20/01/2017 14:30,24.53
20/01/2017 14:35,24.62
20/01/2017 14:40,24.83
20/01/2017 14:45,25.24
20/01/2017 14:50,25.58
20/01/2017 14:55,25.97
20/01/2017 15:00,26.28
20/01/2017 15:05,26.40
20/01/2017 15:10,26.34
20/01/2017 15:15,26.21
20/01/2017 15:20,26.35
20/01/2017 15:25,26.78
20/01/2017 15:30,26.99
20/01/2017 15:35,27.37
20/01/2017 15:40,27.27
20/01/2017 15:45,27.39
20/01/2017 15:50,27.12
20/01/2017 15:55,27.11
20/01/2017 16:00,27.34
20/01/2017 16:05,27.50
20/01/2017 16:10,28.54
20/01/2017 16:15,28.52
20/01/2017 16:20,28.91
20/01/2017 16:25,28.64
20/01/2017 16:30,29.55
20/01/2017 16:35,29.39
20/01/2017 16:40,29.17
20/01/2017 16:45,28.96
20/01/2017 16:50,29.40
20/01/2017 16:55,28.83
20/01/2017 17:00,29.31
20/01/2017 17:05,29.72
20/01/2017 17:10,30.94
20/01/2017 17:15,30.44
20/01/2017 17:20,28.89
20/01/2017 17:25,28.30
20/01/2017 17:30,28.74
20/01/2017 17:35,28.66
20/01/2017 17:40,29.15
20/01/2017 17:45,29.33
20/01/2017 17:50,29.69
20/01/2017 17:55,30.26
20/01/2017 18:00,29.00
20/01/2017 18:05,30.07
20/01/2017 18:10,28.78
20/01/2017 18:15,28.32
20/01/2017 18:20,29.90
20/01/2017 18:25,28.92
20/01/2017 18:30,29.03
20/01/2017 18:35,28.85
20/01/2017 18:40,29.57
20/01/2017 18:45,28.20
20/01/2017 18:50,27.99
20/01/2017 18:55,27.82
20/01/2017 19:00,27.54
20/01/2017 19:05,27.49
20/01/2017 19:10,27.91
20/01/2017 19:15,28.06
20/01/2017 19:20,28.13
20/01/2017 19:25,25.75
20/01/2017 19:30,24.38
20/01/2017 19:35,25.39
20/01/2017 19:40,25.31
20/01/2017 19:45,25.47
20/01/2017 19:50,25.38
20/01/2017 19:55,25.22
20/01/2017 20:00,25.14
20/01/2017 20:05,25.26
20/01/2017 20:10,25.28
20/01/2017 20:15,25.03
20/01/2017 20:20,24.95
20/01/2017 20:25,25.10
20/01/2017 20:30,25.12
20/01/2017 20:35,25.01
20/01/2017 20:40,24.95
20/01/2017 20:45,24.91
20/01/2017 20:50,24.88
20/01/2017 20:55,24.87
20/01/2017 21:00,24.85
20/01/2017 21:05,24.94
20/01/2017 21:10,24.98
20/01/2017 21:15,24.98
20/01/2017 21:20,25.00
20/01/2017 21:25,25.00
20/01/2017 21:30,24.99
20/01/2017 21:35,24.94
20/01/2017 21:40,24.94
20/01/2017 21:45,24.96
20/01/2017 21:50,24.98
20/01/2017 21:55,24.93
20/01/2017 22:00,24.86
20/01/2017 22:05,24.89
20/01/2017 22:10,24.92
20/01/2017 22:15,24.92
20/01/2017 22:20,25.12
20/01/2017 22:25,24.96
