Datetime,Canopytemp
21/12/2016 00:00,18.89
21/12/2016 00:05,18.82
21/12/2016 00:10,18.79
21/12/2016 00:15,18.74
21/12/2016 00:20,18.59
21/12/2016 00:25,18.59
21/12/2016 00:30,18.45
21/12/2016 00:35,18.74
21/12/2016 00:40,18.47
21/12/2016 00:45,18.49
21/12/2016 00:55,18.18
21/12/2016 01:00,18.00
21/12/2016 01:05,17.90
21/12/2016 01:10,17.91
21/12/2016 01:15,18.01
21/12/2016 01:20,18.12
21/12/2016 01:25,18.29
21/12/2016 01:30,18.30
21/12/2016 01:35,18.42
21/12/2016 01:40,18.75
21/12/2016 01:45,19.09
21/12/2016 01:55,18.89
21/12/2016 02:00,19.01
21/12/2016 02:05,19.23
21/12/2016 02:10,19.05
21/12/2016 02:15,18.92
21/12/2016 02:20,19.05
21/12/2016 02:25,19.09
21/12/2016 02:30,18.93
21/12/2016 02:35,19.20
21/12/2016 02:40,18.94
21/12/2016 02:45,19.11
21/12/2016 02:50,19.03
21/12/2016 02:55,18.92
21/12/2016 03:00,19.12
21/12/2016 03:05,18.77
21/12/2016 03:15,18.84
21/12/2016 03:20,18.82
21/12/2016 03:25,19.07
21/12/2016 03:30,19.00
21/12/2016 03:35,19.10
21/12/2016 03:40,18.97
21/12/2016 03:45,19.24
21/12/2016 03:55,19.34
21/12/2016 04:00,19.08
21/12/2016 04:05,19.28
21/12/2016 04:15,18.99
21/12/2016 04:20,19.01
21/12/2016 04:25,19.57
21/12/2016 04:30,19.45
21/12/2016 04:35,19.35
21/12/2016 04:40,19.47
21/12/2016 04:45,19.02
21/12/2016 04:50,19.22
21/12/2016 04:55,19.25
21/12/2016 05:00,19.10
21/12/2016 05:05,18.97
21/12/2016 05:10,19.18
21/12/2016 05:15,19.02
21/12/2016 05:20,18.78
21/12/2016 05:25,18.64
21/12/2016 05:30,18.50
21/12/2016 05:35,18.50
21/12/2016 05:40,18.49
21/12/2016 05:45,18.76
21/12/2016 05:50,18.80
21/12/2016 05:55,18.63
21/12/2016 06:00,18.50
21/12/2016 06:05,18.48
21/12/2016 06:10,18.77
21/12/2016 06:15,18.74
21/12/2016 06:20,19.05
21/12/2016 06:25,19.15
21/12/2016 06:30,19.37
21/12/2016 06:35,19.53
21/12/2016 06:40,19.73
21/12/2016 06:45,20.00
21/12/2016 06:50,20.25
21/12/2016 06:55,20.29
21/12/2016 07:00,20.72
21/12/2016 07:05,21.11
21/12/2016 07:10,21.41
21/12/2016 07:15,21.66
21/12/2016 07:20,22.00
21/12/2016 07:25,22.34
21/12/2016 07:35,22.54
21/12/2016 07:40,22.81
21/12/2016 07:45,23.01
21/12/2016 07:50,23.22
21/12/2016 08:00,23.65
21/12/2016 08:05,23.87
21/12/2016 08:10,24.13
21/12/2016 08:15,24.42
21/12/2016 08:20,24.69
21/12/2016 08:25,24.90
21/12/2016 08:30,25.06
21/12/2016 08:35,25.27
21/12/2016 08:40,25.56
21/12/2016 08:45,25.70
21/12/2016 08:50,26.71
21/12/2016 08:55,26.54
21/12/2016 09:00,26.46
21/12/2016 09:05,26.27
21/12/2016 09:10,24.63
21/12/2016 09:15,25.01
21/12/2016 09:20,25.53
21/12/2016 09:25,25.42
21/12/2016 09:30,25.65
21/12/2016 09:35,25.89
21/12/2016 09:40,25.94
21/12/2016 09:45,25.93
21/12/2016 09:50,26.67
21/12/2016 09:55,26.59
21/12/2016 10:00,29.52
21/12/2016 10:05,29.59
21/12/2016 10:10,29.43
21/12/2016 10:15,30.81
21/12/2016 10:20,30.73
21/12/2016 10:25,30.37
21/12/2016 10:30,30.46
21/12/2016 10:35,30.77
21/12/2016 10:40,31.53
21/12/2016 10:45,31.15
21/12/2016 10:50,31.01
21/12/2016 10:55,31.78
21/12/2016 11:00,31.39
21/12/2016 11:05,31.57
21/12/2016 11:10,31.82
21/12/2016 11:15,32.02
21/12/2016 11:20,32.99
21/12/2016 11:25,32.80
21/12/2016 11:30,32.41
21/12/2016 11:35,32.78
21/12/2016 11:40,33.49
21/12/2016 11:45,32.49
21/12/2016 11:50,33.21
21/12/2016 11:55,33.24
21/12/2016 12:00,34.04
21/12/2016 12:05,33.46
21/12/2016 12:10,34.31
21/12/2016 12:15,33.67
21/12/2016 12:20,34.12
21/12/2016 12:25,34.17
21/12/2016 12:30,34.83
21/12/2016 12:35,34.03
21/12/2016 12:40,34.51
21/12/2016 12:45,34.52
21/12/2016 12:50,35.62
21/12/2016 12:55,34.68
21/12/2016 13:00,35.08
21/12/2016 13:05,35.27
21/12/2016 13:10,35.56
21/12/2016 13:15,35.18
21/12/2016 13:20,35.84
21/12/2016 13:25,35.62
21/12/2016 13:30,35.94
21/12/2016 13:35,35.03
21/12/2016 13:40,35.66
21/12/2016 13:45,35.89
21/12/2016 13:50,35.76
21/12/2016 13:55,36.18
21/12/2016 14:00,36.57
21/12/2016 14:05,36.77
21/12/2016 14:10,36.78
21/12/2016 14:15,36.82
21/12/2016 14:20,36.90
21/12/2016 14:25,37.06
21/12/2016 14:30,36.99
21/12/2016 14:35,36.88
21/12/2016 14:40,37.57
21/12/2016 14:45,37.53
21/12/2016 14:50,37.10
21/12/2016 14:55,37.44
21/12/2016 15:00,37.38
21/12/2016 15:05,37.54
21/12/2016 15:10,38.80
21/12/2016 15:15,38.32
21/12/2016 15:20,38.69
21/12/2016 15:25,37.99
21/12/2016 15:30,38.64
21/12/2016 15:35,38.58
21/12/2016 15:40,38.46
21/12/2016 15:45,38.03
21/12/2016 15:50,38.34
21/12/2016 15:55,38.18
21/12/2016 16:00,38.95
21/12/2016 16:05,36.83
21/12/2016 16:10,35.71
21/12/2016 16:15,34.98
21/12/2016 16:20,35.30
21/12/2016 16:25,34.16
21/12/2016 16:30,36.30
21/12/2016 16:35,36.05
21/12/2016 16:40,33.30
21/12/2016 16:45,34.10
21/12/2016 16:50,33.63
21/12/2016 16:55,33.70
21/12/2016 17:00,35.95
21/12/2016 17:10,36.28
21/12/2016 17:15,36.10
21/12/2016 17:20,36.84
21/12/2016 17:25,35.77
21/12/2016 17:30,36.69
21/12/2016 17:35,36.91
21/12/2016 17:40,37.09
21/12/2016 17:45,36.74
21/12/2016 17:55,36.25
21/12/2016 18:00,36.16
21/12/2016 18:05,35.61
21/12/2016 18:10,35.56
21/12/2016 18:15,35.24
21/12/2016 18:20,34.94
21/12/2016 18:25,34.83
21/12/2016 18:30,34.73
21/12/2016 18:35,34.44
21/12/2016 18:40,34.03
21/12/2016 18:50,33.66
21/12/2016 18:55,33.43
21/12/2016 19:00,33.10
21/12/2016 19:05,32.84
21/12/2016 19:10,32.66
21/12/2016 19:15,32.11
21/12/2016 19:20,32.00
21/12/2016 19:25,31.50
21/12/2016 19:30,31.38
21/12/2016 19:35,30.65
21/12/2016 19:40,30.57
21/12/2016 19:45,30.58
21/12/2016 19:50,30.03
21/12/2016 19:55,30.14
21/12/2016 20:00,29.86
21/12/2016 20:05,29.70
21/12/2016 20:10,29.33
21/12/2016 20:15,29.32
21/12/2016 20:20,28.91
21/12/2016 20:25,28.02
21/12/2016 20:30,28.57
21/12/2016 20:35,28.13
21/12/2016 20:40,27.91
