Datetime,Canopytemp
21/12/2016 00:00,18.62
21/12/2016 00:05,18.66
21/12/2016 00:10,18.76
21/12/2016 00:15,18.65
21/12/2016 00:20,18.53
21/12/2016 00:25,18.51
21/12/2016 00:30,18.47
21/12/2016 00:35,18.52
21/12/2016 00:40,18.43
21/12/2016 00:45,18.09
21/12/2016 00:55,18.06
21/12/2016 01:00,17.86
21/12/2016 01:05,17.79
21/12/2016 01:10,17.88
21/12/2016 01:15,17.83
21/12/2016 01:20,18.09
21/12/2016 01:25,18.29
21/12/2016 01:30,18.37
21/12/2016 01:35,18.44
21/12/2016 01:40,18.75
21/12/2016 01:45,18.87
21/12/2016 01:55,18.88
21/12/2016 02:00,18.73
21/12/2016 02:05,18.84
21/12/2016 02:10,18.81
21/12/2016 02:15,18.74
21/12/2016 02:20,18.71
21/12/2016 02:25,18.85
21/12/2016 02:30,18.78
21/12/2016 02:35,18.80
21/12/2016 02:40,18.53
21/12/2016 02:45,18.77
21/12/2016 02:50,18.59
21/12/2016 02:55,18.58
21/12/2016 03:00,18.84
21/12/2016 03:05,18.63
21/12/2016 03:15,18.61
21/12/2016 03:20,18.56
21/12/2016 03:25,18.76
21/12/2016 03:30,18.62
21/12/2016 03:35,18.89
21/12/2016 03:40,18.76
21/12/2016 03:45,18.88
21/12/2016 03:55,18.96
21/12/2016 04:00,18.77
21/12/2016 04:05,18.82
21/12/2016 04:15,18.78
21/12/2016 04:20,19.01
21/12/2016 04:25,19.22
21/12/2016 04:30,19.19
21/12/2016 04:35,19.17
21/12/2016 04:40,19.35
21/12/2016 04:45,18.99
21/12/2016 04:50,19.09
21/12/2016 04:55,19.00
21/12/2016 05:00,18.97
21/12/2016 05:10,18.88
21/12/2016 05:15,18.93
21/12/2016 05:20,18.60
21/12/2016 05:25,18.51
21/12/2016 05:30,18.55
21/12/2016 05:35,18.65
21/12/2016 05:40,18.66
21/12/2016 05:45,18.77
21/12/2016 05:50,18.61
21/12/2016 05:55,18.46
21/12/2016 06:00,18.54
21/12/2016 06:05,18.70
21/12/2016 06:10,18.87
21/12/2016 06:15,18.90
21/12/2016 06:20,19.20
21/12/2016 06:25,19.26
21/12/2016 06:30,19.62
21/12/2016 06:35,19.66
21/12/2016 06:40,20.18
21/12/2016 06:45,20.39
21/12/2016 06:50,20.77
21/12/2016 06:55,20.58
