Datetime,Canopytemp
18/01/2016 13:55,23.03
18/01/2016 14:00,23.40
18/01/2016 14:05,22.52
18/01/2016 14:10,22.97
18/01/2016 14:15,22.61
18/01/2016 14:20,22.95
18/01/2016 14:25,24.16
18/01/2016 14:30,25.77
18/01/2016 14:35,25.57
18/01/2016 14:40,26.70
18/01/2016 14:45,27.22
18/01/2016 14:50,26.64
18/01/2016 14:55,26.54
18/01/2016 15:00,27.00
18/01/2016 15:05,25.81
18/01/2016 15:10,25.98
18/01/2016 15:15,25.56
18/01/2016 15:20,26.49
18/01/2016 15:25,25.69
18/01/2016 15:30,26.39
18/01/2016 15:35,25.87
18/01/2016 15:40,25.75
18/01/2016 15:45,25.90
18/01/2016 15:50,25.27
18/01/2016 15:55,26.69
18/01/2016 16:00,26.02
18/01/2016 16:05,25.10
18/01/2016 16:10,26.67
18/01/2016 16:15,26.39
18/01/2016 16:20,26.50
18/01/2016 16:25,25.23
18/01/2016 16:30,25.61
18/01/2016 16:35,25.35
18/01/2016 16:40,25.64
18/01/2016 16:45,26.04
18/01/2016 16:50,25.18
18/01/2016 16:55,23.63
18/01/2016 17:00,25.23
18/01/2016 17:05,25.99
18/01/2016 17:10,25.31
18/01/2016 17:15,25.80
18/01/2016 17:20,25.82
18/01/2016 17:25,26.18
18/01/2016 17:30,26.01
18/01/2016 17:35,25.96
18/01/2016 17:40,25.28
18/01/2016 17:45,25.78
18/01/2016 17:50,25.67
18/01/2016 17:55,25.19
18/01/2016 18:00,25.27
18/01/2016 18:05,25.67
18/01/2016 18:10,25.65
18/01/2016 18:15,25.40
18/01/2016 18:20,25.73
18/01/2016 18:25,25.66
18/01/2016 18:30,25.62
18/01/2016 18:35,24.93
18/01/2016 18:40,25.14
18/01/2016 18:45,24.99
18/01/2016 18:50,25.28
18/01/2016 18:55,25.01
18/01/2016 19:00,25.37
18/01/2016 19:05,25.11
18/01/2016 19:10,25.44
18/01/2016 19:15,25.40
18/01/2016 19:20,24.75
18/01/2016 19:25,24.62
18/01/2016 19:30,24.32
18/01/2016 19:35,23.17
18/01/2016 19:40,22.11
18/01/2016 19:45,21.86
18/01/2016 19:50,21.22
18/01/2016 19:55,20.39
18/01/2016 20:00,20.22
18/01/2016 20:05,20.31
18/01/2016 20:10,19.44
18/01/2016 20:15,19.59
18/01/2016 20:25,18.89
18/01/2016 20:30,18.82
18/01/2016 20:35,18.90
18/01/2016 20:40,18.53
18/01/2016 20:45,18.57
18/01/2016 20:50,18.47
18/01/2016 20:55,18.40
18/01/2016 21:00,18.28
18/01/2016 21:05,18.13
18/01/2016 21:10,17.90
18/01/2016 21:15,18.04
18/01/2016 21:20,18.23
18/01/2016 21:25,17.71
18/01/2016 21:30,17.68
18/01/2016 21:35,17.58
18/01/2016 21:40,17.45
18/01/2016 21:45,17.38
18/01/2016 21:50,17.46
18/01/2016 21:55,17.43
18/01/2016 22:00,17.21
18/01/2016 22:05,17.36
18/01/2016 22:10,17.21
18/01/2016 22:15,17.25
18/01/2016 22:20,17.06
18/01/2016 22:25,17.10
18/01/2016 22:30,16.97
18/01/2016 22:35,16.93
18/01/2016 22:40,16.79
18/01/2016 22:45,16.82
18/01/2016 22:50,16.78
18/01/2016 22:55,16.83
18/01/2016 23:00,16.67
18/01/2016 23:05,16.20
18/01/2016 23:10,15.91
18/01/2016 23:15,16.12
18/01/2016 23:20,15.71
18/01/2016 23:25,15.67
18/01/2016 23:30,15.68
18/01/2016 23:35,15.48
18/01/2016 23:40,15.64
18/01/2016 23:45,15.21
18/01/2016 23:50,15.19
18/01/2016 23:55,15.24
19/01/2016 00:00,15.32
19/01/2016 00:05,15.26
19/01/2016 00:10,15.36
19/01/2016 00:15,15.41
19/01/2016 00:20,15.53
19/01/2016 00:25,15.25
19/01/2016 00:30,15.21
19/01/2016 00:35,15.25
19/01/2016 00:40,15.03
19/01/2016 00:45,14.86
19/01/2016 00:50,14.89
19/01/2016 00:55,14.79
