UID,experiment_ID,row_number,sensorID,sensor_type,planting_year,experiment_name,treatment,location,plot_no,row_configuration,planting_day_of_year,variety,country,climate_file_name,Irrigation_type,lint_yield_kg_per_ha,fibre_length_mm,micronaire,fibre_strength_g-tex,first_flower_doy,maturity_time_das_60%,Irrigation_date_1,Irrigation_date_2,Irrigation_date_3,Irrigation_date_4,Irrigation_date_5,Irrigation_date_6,Irrigation_date_7,Irrigation_date_8,Irrigation_date_9,Irrigation_date_10,Irrigation_date_11,Irrigation_date_12
2007_ACRI_WD_1,WD,1,Drip235_1,Smartcrop,2007,Warren_Drip,"Control, Target = 100% Etc",ACRI,1,Solid,278,Sicot 70BRF,Australia,NA,Drip,2909,30.99,3.9,284.5,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007_ACRI_WD_2,WD,2,Drip236_2,Smartcrop,2007,Warren_Drip,Low water; Target = 25% Etc,ACRI,2,Solid,278,Sicot 70BRF,Australia,NA,Drip,2384,29.97,4.5,279.6,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007_ACRI_WD_3,WD,3,Drip228_1,Smartcrop,2007,Warren_Drip,High water; Target = 125% Etc,ACRI,3,Solid,278,Sicot 70BRF,Australia,NA,Drip,3192,30.73,4,277.6,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007_ACRI_WD_4,WD,4,Drip230_1,Smartcrop,2007,Warren_Drip,Low water; Target = 50% Etc,ACRI,4,Solid,278,Sicot 70BRF,Australia,NA,Drip,3255,30.99,4.1,286.5,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007_ACRI_WD_5,WD,5,Drip239_2,Smartcrop,2007,Warren_Drip,Low water; Target = 75% Etc,ACRI,5,Solid,278,Sicot 70BRF,Australia,NA,Drip,3413,31.75,4.2,278.6,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007_ACRI_WD_6,WD,6,Drip250_2,Smartcrop,2007,Warren_Drip,Low water; Target = 50% Etc,ACRI,6,Solid,278,Sicot 70BRF,Australia,NA,Drip,3465,30.73,4.3,284.5,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007_ACRI_WD_7,WD,7,Drip233_1,Smartcrop,2007,Warren_Drip,Low water; Target = 75% Etc,ACRI,7,Solid,278,Sicot 70BRF,Australia,NA,Drip,3568,30.73,4.1,281.5,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007_ACRI_WD_8,WD,8,Drip223_1,Smartcrop,2007,Warren_Drip,Low water; Target = 25% Etc,ACRI,8,Solid,278,Sicot 70BRF,Australia,NA,Drip,2279,30.48,4.2,282.5,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007_ACRI_WD_9,WD,9,Drip242_2,Smartcrop,2007,Warren_Drip,"Control, Target = 100% Etc",ACRI,9,Solid,278,Sicot 70BRF,Australia,NA,Drip,2266,31.75,3.9,283.5,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007_ACRI_WD_10,WD,10,Drip229_2,Smartcrop,2007,Warren_Drip,High water; Target = 125% Etc,ACRI,10,Solid,278,Sicot 70BRF,Australia,NA,Drip,2582,31.5,3.7,292.3,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007_ACRI_WD_11,WD,11,Drip252_4,Smartcrop,2007,Warren_Drip,Low water; Target = 75% Etc,ACRI,11,Solid,278,Sicot 70BRF,Australia,NA,Drip,3576,30.48,4,272.7,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007_ACRI_WD_12,WD,12,Drip261_4,Smartcrop,2007,Warren_Drip,"Control, Target = 100% Etc",ACRI,12,Solid,278,Sicot 70BRF,Australia,NA,Drip,3363,30.99,3.8,286.5,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007_ACRI_WD_13,WD,13,Drip255_3,Smartcrop,2007,Warren_Drip,Low water; Target = 25% Etc,ACRI,13,Solid,278,Sicot 70BRF,Australia,NA,Drip,2561,30.73,4,288.4,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007_ACRI_WD_14,WD,14,Drip257_3,Smartcrop,2007,Warren_Drip,Low water; Target = 50% Etc,ACRI,14,Solid,278,Sicot 70BRF,Australia,NA,Drip,3709,30.73,4.3,273.7,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007_ACRI_WD_15,WD,15,Drip254_3,Smartcrop,2007,Warren_Drip,High water; Target = 125% Etc,ACRI,15,Solid,278,Sicot 70BRF,Australia,NA,Drip,2834,32,3.8,295.3,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007_ACRI_WD_16,WD,16,Drip258_4,Smartcrop,2007,Warren_Drip,Low water; Target = 25% Etc,ACRI,16,Solid,278,Sicot 70BRF,Australia,NA,Drip,2898,31.24,4.4,284.5,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007_ACRI_WD_17,WD,17,Drip256_3,Smartcrop,2007,Warren_Drip,"Control, Target = 100% Etc",ACRI,17,Solid,278,Sicot 70BRF,Australia,NA,Drip,3038,31.75,3.9,288.4,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007_ACRI_WD_18,WD,18,Drip251_3,Smartcrop,2007,Warren_Drip,Low water; Target = 75% Etc,ACRI,18,Solid,278,Sicot 70BRF,Australia,NA,Drip,3473,31.5,3.8,297.2,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007_ACRI_WD_19,WD,19,Drip260_4,Smartcrop,2007,Warren_Drip,Low water; Target = 50% Etc,ACRI,19,Solid,278,Sicot 70BRF,Australia,NA,Drip,3169,30.48,4,299.2,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007_ACRI_WD_20,WD,20,Drip259_4,Smartcrop,2007,Warren_Drip,High water; Target = 125% Etc,ACRI,20,Solid,278,Sicot 70BRF,Australia,NA,Drip,2852,30.73,3.8,292.3,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008_ACRI_WD_1,WD,21,Drip427_1,Smartcrop,2008,Warren_Drip,Low water; Target = 25% Etc,ACRI,1,Solid,288,Sicot 70BRF,Australia,NA,Drip,645,26.924,3.4,281,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008_ACRI_WD_2,WD,22,Drip428_1,Smartcrop,2008,Warren_Drip,High water; Target = 125% Etc,ACRI,2,Solid,288,Sicot 70BRF,Australia,NA,Drip,2312,30.226,4.1,286,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
